year_group,mean_total_cholesterol_mmoll,male_total_cholesterol_mmoll,female_total_cholesterol_mmoll
2000-2002,5.2647617986824935,4.997581016299137,5.529690391684624
2002-2008,4.526707205053637,4.279651324842916,4.758664258528333
2008-2012,4.319823673909824,4.049055308460576,4.5709115333314925
2012-2014,4.314462299852767,4.0630824680660345,4.5471885659751035
