year_group,LVD_per_1000,total_male_lvd,total_female_lvd
2000-2002,1.798,0.931,0.867
2002-2008,5.762,3.11,2.652
2008-2012,4.968,2.82,2.148
2012-2014,1.446,0.816,0.63
