year_group,mean_HbA1c_DCCT,male_mean_HbA1c_DCCT,female_mean_HbA1c_DCCT
2000-2002,7.296625871863091,7.232784536113906,7.353625326655052
2002-2008,6.973210150380675,6.9804367293031895,6.966550976635463
2008-2012,6.864694246130282,6.890568611272982,6.8407245856354875
2012-2014,6.849791802776423,6.860995040789698,6.8393853441513395
