year_group,mi_events_per_1000,total_male_mi_events,total_female_mi_events
2000-2002,0.224,0.113,0.111
2002-2008,0.707,0.4,0.307
2008-2012,0.485,0.303,0.182
2012-2014,0.368,0.232,0.136
