year_group,mean_weight,male_weight,female_weight
2000-2002,76.18734695955405,82.39978657274753,70.45966059635047
2002-2008,77.50512057888697,83.91292938274353,71.58330566601761
2008-2012,78.65184220009428,85.42923512774526,72.36665207904592
2012-2014,78.52918534550238,85.21898924431285,72.34915548352976
