year_group,percentage_smoking,male_smoking,female_smoking
2000-2002,51.25195708901131,65.72270661918212,38.305866842452204
2002-2008,60.39883661058462,75.82585200034865,46.21661324786325
2008-2012,63.64498163289489,78.98278328646835,49.46360153256705
2012-2014,62.96593830334191,77.77612384638284,49.310321163875926
