year_group,mean_age,male_mean_age,female_mean_age
2000-2002,77.64489417222383,76.64597814073437,78.5385629531971
2002-2008,78.04627812800067,77.19792846974055,78.82617521367521
2008-2012,79.08227989098235,78.22940160820878,79.8708538587849
2012-2014,79.6682733504713,78.83160910985413,80.43971314850398
