year_group,sum_GP_contacts_this_month,male_GP_contacts_this_month,female_GP_contacts_this_month
2000-2002,1.062139750652363,1.0224978509148963,1.0976049219951658
2002-2008,1.0552818714426864,1.026206455736657,1.082011217948718
2008-2012,1.0323166251925584,1.0282965813230724,1.036033570516329
2012-2014,1.0313660382747787,1.0120943733253944,1.049135328026352
