year_group,sum_chol_gt_4,male_chol_gt_4,female_chol_gt_4
2000-2002,65.5297187590606,65.8455114822547,65.24719841793014
2002-2008,65.56137714134624,58.48295999302711,72.06864316239316
2008-2012,58.65529091124541,48.38340486409156,68.15270935960591
2012-2014,59.15809768637532,49.836260791902355,67.75322536371122
