year_group,mean_HbA1c_IFCC,male_HbA1c_IFCC,female_HbA1c_IFCC
2000-2002,56.24747415359172,55.54975219518888,56.870421195013066
2002-2008,52.712863733510176,52.79184301455416,52.640085623648915
2008-2012,51.526893416967525,51.80967435366467,51.26492899737122
2012-2014,51.364024616312484,51.48646480455103,51.25029243000689
