term,estimate,std.error,statistic,p.value
(Intercept),7.375615877348174,0.01404048297397485,525.3106955807335,0
as.factor(year_group)2002-2008,-0.47840850805793117,0.014629524492589531,-32.70157606969831,6.78429534399747e-234
as.factor(year_group)2008-2012,-0.5535258397602023,0.015199038285935268,-36.41847788964506,2.2443001938465657e-289
as.factor(year_group)2012-2014,-0.5750131523720623,0.018952848275484543,-30.33914185425313,1.0788090871941472e-201
