term,estimate,std.error,statistic,p.value
(Intercept),7.2966258718596535,0.004893864840578473,1490.9741297630862,0
as.factor(year_group)2002-2008,-0.3234157214820577,0.005496914822055806,-58.83586192465369,0
as.factor(year_group)2008-2012,-0.43193162573512195,0.005691522708292304,-75.89034567248868,0
as.factor(year_group)2012-2014,-0.4468340690865384,0.007432803008339457,-60.11649556502432,0
