year_group,rate_1000_pop,standard deviation,rate_1000_pop_Males,standard deviation Males,rate_1000_pop_Females,standard deviation Females
2000-2002,47.75,0.50,23.54,0.49,24.21,0.50
2002-2008,108.85,0.49,56.06,0.49,52.79,0.48
2008-2012,40.01,0.39,20.95,0.40,19.06,0.38
2012-2014,3.77,0.25,1.83,0.25,1.94,0.25
All Years,200.38,0.46,102.38,0.47,98.00,0.46
