Years,Mean,Standard Deviation
2000,7.41,1.72
2001,7.29,1.55
2002,7.24,1.53
2003,7.14,1.47
2004,7.08,1.39
2005,7.01,1.3
2006,6.94,1.28
2007,6.88,1.23
2008,6.87,1.24
2009,6.86,1.22
2010,6.87,1.23
2011,6.86,1.15
2012,6.87,1.13
2013,6.86,1.11
2014,6.79,1.08
2000-2002,7.3,1.59
2002-2008,6.97,1.31
2008-2012,6.86,1.18
2012-2014,6.85,1.11
