year_group,sum_chol_gt_4,male_chol_gt_4,female_chol_gt_4
2000-2002,63.457197908064956,65.51258992805755,61.484518286762324
2002-2008,68.88046380574447,62.7922758961071,74.46068591139134
2008-2012,68.08998580321067,60.50718785333549,75.89033508723345
2012-2014,68.7028657616893,60.40235525024534,77.42268041237114
