year_group,mean_weight,male_weight,female_weight
2000-2002,78.26686091395841,84.34152256487401,72.27334502164503
2002-2008,78.93987321239305,85.1837627732547,73.1941614311418
2008-2012,80.55180910975947,87.05269839499456,73.83531978639685
2012-2014,82.84717226036105,88.39179627791563,77.02213712200208
