year_group,mean_HbA1c_DCCT,male_mean_HbA1c_DCCT,female_mean_HbA1c_DCCT
2000-2002,7.364935378971066,7.366854743912678,7.363042398145081
2002-2008,6.889708163192259,6.906622462283591,6.874045910799904
2008-2012,6.805866965065602,6.838422153310998,6.771651832565818
2012-2014,6.907445009229027,6.9132160985693725,6.9015759330087825
