year_group,mean_HbA1c_IFCC,male_HbA1c_IFCC,female_HbA1c_IFCC
2000-2002,56.99402875677479,57.01500549622166,56.973340369327595
2002-2008,51.800270515527615,51.985126890296144,51.629097759132144
2008-2012,50.883970062293244,51.23976571473745,50.51003287908722
2012-2014,51.99411650943106,52.057188744956825,51.92997337529274
