year_group,mean_total_cholesterol_mmoll,male_total_cholesterol_mmoll,female_total_cholesterol_mmoll
2000-2002,5.410763954588458,5.104636118598383,5.751143856143856
2002-2008,4.736383750791252,4.4581023149952745,5.001620744284295
2008-2012,4.604788556523669,4.32719752883932,4.890888600890292
2012-2014,4.584472271914132,4.395124378109453,4.7844666316342614
