year_group,mean_age,male_mean_age,female_mean_age
2000-2002,74.7156619873383,73.85544064748201,75.5412665875499
2002-2008,75.52577927921283,74.52628169535443,76.44188413582516
2008-2012,75.73138036474828,74.95014268023475,76.53503184713375
2012-2014,75.81171442936149,74.52502453385672,77.16340206185566
