year_group,percentage_smoking,male_smoking,female_smoking
2000-2002,57.42361684558216,70.89703237410072,44.49239400151041
2002-2008,62.16236151474471,75.78505768400271,49.67627018010122
2008-2012,66.00961013432347,79.89554729984386,51.725283854887834
2012-2014,67.72247360482655,77.72325809617271,57.21649484536082
