year_group,rate_1000_pop,standard deviation,rate_1000_pop_Males,standard deviation Males,rate_1000_pop_Females,standard deviation Females
2000-2002,1.798,0.14289098756580837,0.931,0.1494789222436028,0.867,0.13670492797317407
2002-2008,5.762,0.14015855212828776,3.11,0.14859055460354975,2.652,0.13188959176331633
2008-2012,4.968,0.15163582418874966,2.82,0.16446624580425862,2.148,0.13860439042220601
2012-2014,1.446,0.1585816405968841,0.816,0.17159595349159415,0.63,0.1454312175651488
All Years,13.974,0.14606990489521726,7.677,0.1562397637115485,6.297,0.13600020391742004
